Namespace(bs=48, fold=3, gpu=6, lr=5e-05, name='0817-fine')
~~~~~~~~~~~~ fold 3 ~~~~~~~~~~~~
raw train:68003 -- raw val:17000
train:68003 --- val:17000
load pre-trained done.....
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
  0  * | -1.7719 | -1.5942 | -0.9221, -1.6794, -1.5253, -1.0897,-1.9307,-1.9966,-2.0830,-1.8682 | -1.6369 |  0 hr 04 min 
  1  * | -1.7951 | -1.5957 | -0.9159, -1.6857, -1.5293, -1.0833,-1.9362,-1.9988,-2.0816,-1.8741 | -1.6381 |  0 hr 08 min 
  2  * | -1.8023 | -1.6017 | -0.9247, -1.6881, -1.5339, -1.0885,-1.9420,-2.0006,-2.0849,-1.8794 | -1.6428 |  0 hr 13 min 
  3  * | -1.8072 | -1.6030 | -0.9262, -1.6905, -1.5358, -1.0885,-1.9390,-2.0051,-2.0918,-1.8765 | -1.6442 |  0 hr 17 min 
  4  * | -1.8116 | -1.6065 | -0.9303, -1.6923, -1.5382, -1.0992,-1.9409,-2.0035,-2.0960,-1.8810 | -1.6477 |  0 hr 22 min 
  5   | -1.8152 | -1.6049 | -0.9280, -1.6914, -1.5374, -1.1034,-1.9429,-2.0040,-2.0873,-1.8808 | -1.6469 |  0 hr 26 min 
  6  * | -1.8158 | -1.6073 | -0.9296, -1.6931, -1.5391, -1.1075,-1.9421,-2.0024,-2.0978,-1.8834 | -1.6494 |  0 hr 31 min 
  7   | -1.8176 | -1.6075 | -0.9308, -1.6925, -1.5391, -1.0722,-1.9456,-2.0036,-2.0991,-1.8841 | -1.6459 |  0 hr 35 min 
  8   | -1.8200 | -1.6054 | -0.9253, -1.6939, -1.5388, -1.0871,-1.9447,-2.0047,-2.0939,-1.8786 | -1.6459 |  0 hr 40 min 
  9   | -1.8212 | -1.6038 | -0.9205, -1.6951, -1.5385, -1.0952,-1.9480,-2.0074,-2.0944,-1.8794 | -1.6473 |  0 hr 44 min 
 10  * | -1.8230 | -1.6103 | -0.9366, -1.6940, -1.5392, -1.0989,-1.9466,-2.0055,-2.1018,-1.8846 | -1.6509 |  0 hr 49 min 
 11   | -1.8227 | -1.6083 | -0.9297, -1.6947, -1.5396, -1.0965,-1.9448,-2.0029,-2.1008,-1.8859 | -1.6494 |  0 hr 53 min 
 12  * | -1.8254 | -1.6115 | -0.9400, -1.6960, -1.5405, -1.1085,-1.9501,-2.0035,-2.0848,-1.8851 | -1.6511 |  0 hr 58 min 
 13   | -1.8261 | -1.6011 | -0.9100, -1.6959, -1.5357, -1.0940,-1.9477,-2.0053,-2.1023,-1.8867 | -1.6472 |  1 hr 02 min 
 14   | -1.8263 | -1.6089 | -0.9305, -1.6963, -1.5402, -1.0769,-1.9508,-2.0072,-2.0966,-1.8860 | -1.6481 |  1 hr 07 min 
 15   | -1.8270 | -1.6092 | -0.9277, -1.6970, -1.5419, -1.0859,-1.9514,-2.0061,-2.1010,-1.8866 | -1.6497 |  1 hr 11 min 
 16  * | -1.8274 | -1.6127 | -0.9367, -1.6966, -1.5419, -1.1100,-1.9518,-2.0056,-2.1040,-1.8896 | -1.6545 |  1 hr 16 min 
 17   | -1.8290 | -1.6111 | -0.9320, -1.6978, -1.5428, -1.1142,-1.9489,-2.0068,-2.0975,-1.8853 | -1.6532 |  1 hr 20 min 
 18   | -1.8295 | -1.6121 | -0.9349, -1.6955, -1.5436, -1.1098,-1.9487,-2.0046,-2.1029,-1.8871 | -1.6534 |  1 hr 25 min 
 19  * | -1.8306 | -1.6120 | -0.9328, -1.6981, -1.5431, -1.1224,-1.9461,-2.0089,-2.1060,-1.8890 | -1.6558 |  1 hr 29 min 
 20   | -1.8312 | -1.6142 | -0.9392, -1.6983, -1.5429, -1.1028,-1.9494,-2.0094,-2.1092,-1.8884 | -1.6550 |  1 hr 34 min 
 21   | -1.8320 | -1.6116 | -0.9363, -1.6967, -1.5403, -1.0978,-1.9507,-2.0037,-2.1055,-1.8860 | -1.6521 |  1 hr 38 min 
 22   | -1.8338 | -1.6124 | -0.9329, -1.6972, -1.5443, -1.1124,-1.9530,-2.0093,-2.1075,-1.8850 | -1.6552 |  1 hr 43 min 
 23   | -1.8321 | -1.6123 | -0.9392, -1.6973, -1.5390, -1.1230,-1.9522,-2.0085,-2.0983,-1.8850 | -1.6553 |  1 hr 47 min 
 24   | -1.8342 | -1.6117 | -0.9318, -1.6984, -1.5436, -1.0945,-1.9488,-2.0058,-2.1047,-1.8891 | -1.6521 |  1 hr 51 min 
 25   | -1.8352 | -1.6098 | -0.9221, -1.6980, -1.5444, -1.1024,-1.9535,-2.0087,-2.1097,-1.8912 | -1.6538 |  1 hr 56 min 
 26   | -1.8355 | -1.6111 | -0.9329, -1.6962, -1.5433, -1.1157,-1.9532,-2.0036,-2.0970,-1.8859 | -1.6535 |  2 hr 00 min 
 27   | -1.8363 | -1.6132 | -0.9320, -1.7010, -1.5450, -1.1017,-1.9508,-2.0082,-2.1080,-1.8871 | -1.6542 |  2 hr 05 min 
 28  * | -1.8370 | -1.6148 | -0.9403, -1.7000, -1.5436, -1.1133,-1.9515,-2.0091,-2.1014,-1.8883 | -1.6560 |  2 hr 09 min 
 29   | -1.8367 | -1.6123 | -0.9319, -1.6994, -1.5442, -1.1018,-1.9519,-2.0072,-2.1027,-1.8893 | -1.6535 |  2 hr 14 min 
 30   | -1.8379 | -1.6122 | -0.9363, -1.7003, -1.5426, -1.1047,-1.9540,-2.0035,-2.1009,-1.8792 | -1.6527 |  2 hr 18 min 
 31  * | -1.8392 | -1.6169 | -0.9414, -1.7020, -1.5448, -1.1186,-1.9556,-2.0066,-2.1060,-1.8899 | -1.6581 |  2 hr 23 min 
 32   | -1.8387 | -1.6142 | -0.9358, -1.7012, -1.5444, -1.1095,-1.9515,-2.0093,-2.1103,-1.8874 | -1.6562 |  2 hr 27 min 
 33   | -1.8395 | -1.6149 | -0.9361, -1.7003, -1.5446, -1.1186,-1.9504,-2.0081,-2.1143,-1.8894 | -1.6577 |  2 hr 32 min 
 34   | -1.8393 | -1.6142 | -0.9308, -1.7023, -1.5463, -1.1053,-1.9552,-2.0125,-2.1159,-1.8887 | -1.6571 |  2 hr 36 min 
 35   | -1.8407 | -1.6144 | -0.9403, -1.6990, -1.5413, -1.1239,-1.9560,-2.0078,-2.1065,-1.8876 | -1.6578 |  2 hr 41 min 
 36   | -1.8406 | -1.6128 | -0.9310, -1.7008, -1.5442, -1.1149,-1.9546,-2.0111,-2.1069,-1.8904 | -1.6567 |  2 hr 45 min 
 37   | -1.8411 | -1.6063 | -0.9157, -1.7006, -1.5438, -1.0768,-1.9535,-2.0096,-2.1132,-1.8790 | -1.6490 |  2 hr 50 min 
 38  * | -1.8403 | -1.6194 | -0.9461, -1.7022, -1.5454, -1.1099,-1.9551,-2.0086,-2.1147,-1.8936 | -1.6594 |  2 hr 54 min 
