Namespace(bs=48, fold=3, gpu=6, lr=0.001, name='0817')
~~~~~~~~~~~~ fold 3 ~~~~~~~~~~~~
raw train:68003 -- raw val:17000
train:68003 --- val:17000
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
  0  * | 0.2479 | -0.4015 | 0.2173 , -0.5738, -0.4597, 0.3710 ,-0.7470,-0.8890,-0.5452,-0.6873 | -0.4142 |  0 hr 04 min 
  1  * | -0.2533 | -0.5794 | 0.1453 , -0.7652, -0.6762, 0.2950 ,-0.9841,-1.0719,-0.8436,-0.9201 | -0.6026 |  0 hr 08 min 
  2  * | -0.4364 | -0.5671 | 0.3476 , -0.8150, -0.7904, -0.0736,-0.9085,-1.1580,-1.0416,-0.9512 | -0.6738 |  0 hr 13 min 
  3  * | -0.5770 | -0.7977 | -0.1253, -0.9382, -0.8550, -0.1720,-1.1343,-1.2682,-1.0799,-1.0847 | -0.8322 |  0 hr 17 min 
  4   | -0.6830 | -0.6760 | 0.2904 , -1.0171, -0.8977, 0.4491 ,-1.1908,-1.2980,-1.2098,-1.0768 | -0.7438 |  0 hr 22 min 
  5  * | -0.7605 | -0.8552 | -0.0844, -1.0659, -0.9401, -0.2627,-1.2515,-1.3491,-1.1411,-1.2260 | -0.9151 |  0 hr 26 min 
  6  * | -0.8222 | -0.9253 | -0.2933, -1.0550, -0.9386, -0.3137,-1.1761,-1.3975,-1.1480,-1.2752 | -0.9497 |  0 hr 30 min 
  7  * | -0.8731 | -0.9883 | -0.3452, -1.1177, -0.9995, -0.3150,-1.3338,-1.3982,-1.2754,-1.3091 | -1.0117 |  0 hr 35 min 
  8   | -0.9098 | -0.9584 | -0.2076, -1.1390, -1.0416, -0.2512,-1.3648,-1.4079,-1.3247,-1.2314 | -0.9960 |  0 hr 39 min 
  9  * | -0.9497 | -1.0440 | -0.4140, -1.1883, -1.0543, -0.3098,-1.4091,-1.4484,-1.1921,-1.3798 | -1.0495 |  0 hr 44 min 
 10  * | -0.9814 | -1.0363 | -0.3232, -1.1745, -1.0836, -0.4490,-1.3858,-1.4965,-1.3547,-1.3781 | -1.0807 |  0 hr 48 min 
 11  * | -1.0079 | -1.0995 | -0.4724, -1.2295, -1.1007, -0.2667,-1.4494,-1.5270,-1.3474,-1.4055 | -1.0998 |  0 hr 52 min 
 12  * | -1.0320 | -1.0822 | -0.4102, -1.1778, -1.1210, -0.4629,-1.4964,-1.5682,-1.3760,-1.4123 | -1.1281 |  0 hr 57 min 
 13  * | -1.0539 | -1.0715 | -0.3093, -1.2233, -1.1300, -0.4784,-1.4262,-1.5764,-1.4585,-1.4420 | -1.1305 |  1 hr 01 min 
 14  * | -1.0678 | -1.1274 | -0.4435, -1.2799, -1.1355, -0.4682,-1.4689,-1.5770,-1.4223,-1.4715 | -1.1583 |  1 hr 06 min 
 15   | -1.0926 | -1.0877 | -0.3350, -1.2395, -1.1469, -0.5001,-1.4708,-1.5999,-1.4957,-1.4104 | -1.1498 |  1 hr 10 min 
